;Speaker;date;fname;title;location;comment
O0060;Obama;April 14, 2008;ObamaSpeeches0804.txt;Remarks for Senator Barack Obama: Alliance for American Manufacturing; Pittsburgh, PA;
O0061;Obama;April 14, 2008;ObamaSpeeches0804.txt;Remarks of Senator Barack Obama: AP Annual Luncheon; Washington, DC;
O0062;Obama;April 15, 2008;ObamaSpeeches0804.txt;Remarks for Senator Barack Obama: Building Trades National Legislative Conference; Washington, DC;
O0063;Obama;April 15, 2008;ObamaSpeeches0804.txt;Remarks of Senator Barack Obama: Town Hall Meeting with Veterans and Military Families; Washington, PA;
O0064;Obama;April 22, 2008;ObamaSpeeches0804.txt;Remarks of Senator Barack Obama: Pennsylvania Primary Night; Evansville, IN;
O0065;Obama;April 25, 2008;ObamaSpeeches0804.txt;Remarks of Senator Barack Obama: Press Avail on Energy Plan; Indianapolis, IN;
O0066;Obama;May 03, 2008;ObamaSpeeches0805.txt;Remarks of Senator Barack Obama: Plan to Fight for Working Families and Take on Special Interests in Washington; Indianapolis, IN;
O0067;Obama;May 06, 2008;ObamaSpeeches0805.txt;Remarks of Senator Barack Obama: Primary Night; Raleigh, NC;
O0068;Obama;May 09, 2008;ObamaSpeeches0805.txt;Remarks of Senator Barack Obama: Economic Discussion; Beaverton, Oregon;
O0069;Obama;May 12, 2008;ObamaSpeeches0805.txt;Remarks of Senator Barack Obama: Veterans Remarks; Charleston, WV;
O0070;Obama;May 14, 2008;ObamaSpeeches0805.txt;Remarks of Senator Barack Obama: Macomb Community College; Warren, MI;
O0071;Obama;May 20, 2008;ObamaSpeeches0805.txt;Remarks of Senator Barack Obama: Forging a New Future for America; Des Moines, IA;
O0072;Obama;May 23, 2008;ObamaSpeeches0805.txt;Remarks of Senator Barack Obama: Renewing U.S. Leadership in the Americas; Miami, FL;
O0073;Obama;May 25, 2008;ObamaSpeeches0805.txt;Remarks of Senator Barack Obama: Wesleyan University Commencement; Middletown, CT;
O0074;Obama;May 26, 2008;ObamaSpeeches0805.txt;Remarks of Senator Barack Obama: Memorial Day; Las Cruces, NM;
O0075;Obama;June 2, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: Troy High School; Troy, MI;
O0076;Obama;June 3, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: Final Primary Night; St. Paul, MN;
O0077;Obama;June 4, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: AIPAC Policy Conference; Washington, DC;
O0078;Obama;June 5, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: Health Care Town Hall; Bristol, VA;
O0079;Obama;June 9, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: Change That Works for You; Raleigh, NC;
O0080;Obama;June 15, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: Apostolic Church of God; Chicago, IL;
O0081;Obama;June 21, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: A Metropolitan Strategy for America's Future; Miami, FL;
O0082;Obama;June 23, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: Discussion with Working Women; Albuquerque, NM;
O0083;Obama;June 24, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: A Serious Energy Policy for Our Future; Las Vegas, NV;
O0084;Obama;June 26, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: Opening of Competitiveness Summit; Pittsburgh, PA;
O0085;Obama;June 28, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: National Association of Latino Elected and Appointed Officials; Washington, DC ;
O0086;Obama;June 30, 2008;ObamaSpeeches0806.txt;Remarks of Senator Barack Obama: The America We Love; Independence, MO;
O0087;Obama;July 1, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: Council for Faith-Based and Neighborhood Partnerships; Zanesville, OH;
O0088;Obama;July 3, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: On Veterans (Fargo, North Dakota); Fargo, ND;
O0089;Obama;July 7, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: An Agenda for Middle-Class Success; St. Louis, MO;
O0090;Obama;July 8, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: League of United Latin American Citizens; Washington, DC;
O0091;Obama;July 10, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: Women's Economic Security Town Hall; Fairfax, VA;
O0092;Obama;July 10, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: Joint Event with Senator Hillary Clinton; New York City, NY;
O0093;Obama;July 11, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: A Secure Energy Future; Dayton, OH;
O0094;Obama;July 13, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: 80th Convention of the American Federation of Teachers; Chicago, IL;
O0095;Obama;July 14, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: 99th Annual Convention of the NAACP; Cincinnati, OH;
O0096;Obama;July 15, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: A New Strategy for a New World; Washington, D.C.;
O0097;Obama;July 16, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: Summit on Confronting New Threats; West Lafayette, IN;
O0098;Obama;July 24, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: A World that Stands as One; Berlin, Germany;
O0099;Obama;July 30, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: Town Hall on the Economy; Springfield, MO;
O0100;Obama;July 31, 2008;ObamaSpeeches0807.txt;Remarks of Senator Barack Obama: Town Hall on Energy; Cedar Rapids, IA;
O0101;Obama;August 1, 2008;ObamaSpeeches0808.txt;Remarks of Senator Barack Obama: Town Hall on the Economy; St. Petersburg, FL;
O0102;Obama;August 2, 2008;ObamaSpeeches0808.txt;Remarks of Senator Barack Obama: Urban League; Orlando, FL;
O0103;Obama;August 2, 2008;ObamaSpeeches0808.txt;Remarks of Senator Barack Obama: Town Hall on the Economy; Titusville, FL;
O0104;Obama;August 4, 2008;ObamaSpeeches0808.txt;Remarks of Senator Barack Obama: New Energy for America; Lansing, MI;
O0105;Obama;August 5, 2008;ObamaSpeeches0808.txt;Remarks of Senator Barack Obama: Energy Town Hall; Youngstown, OH;
O0106;Obama;August 6, 2008;ObamaSpeeches0808.txt;Remarks of Senator Barack Obama: Town Hall on Energy; Elkhart, IN;
O0107;Obama;August 19, 2008;ObamaSpeeches0808.txt;Remarks of Senator Barack Obama at the VFW National Convention; Orlando, FL;
O0108;Obama;August 23, 2008;ObamaSpeeches0808.txt;Remarks of Senator Barack Obama: Vice President Announcement; Springfield, IL  ;
O0109;Obama;August 28, 2008;ObamaSpeeches0808.txt;Remarks of Senator Barack Obama: The American Promise (Democratic Convention); Denver, CO ;
O0110;Obama;September 6, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama at the AARP Life@50+ National Expo;;
O0111;Obama;September 9, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama: A 21st Century Education; Dayton, OH;
O0112;Obama;September 10, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama: Congressional Hispanic Caucus Institue Gala; Washington, DC;
O0113;Obama;September 12, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama: Confronting an Economic Crisis; Dover, NH;
O0114;Obama;September 16, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama: Confronting an Economic Crisis; Golden, CO;
O0115;Obama;September 17, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama : The Change We Need; Elko, NV;
O0116;Obama;September 18, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama (Espanola, NM); Espanola, NM;
O0117;Obama;September 19, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama: The Fed/Treasury Plan; Miami, FL;
O0118;Obama;September 20, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama (Daytona Beach, FL); Daytona Beach, FL;
O0119;Obama;September 21, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama (Charlotte, NC); Charlotte, NC;
O0120;Obama;September 23, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama: Plan To Protect Taxpayers and Homeowners; Tampa, FL;
O0121;Obama;September 24, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama (Dunedin, FL); Dunedin, FL;
O0122;Obama;September 25, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama: The Clinton Global Initiative; New York, NY ;
O0123;Obama;September 27, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama (Greensboro, NC); Greensboro, NC ;
O0124;Obama;September 28, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama (Detroit, MI); Detroit, MI  ;
O0125;Obama;September 29, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama (Westminster, CO); Westminster, CO;
O0126;Obama;September 30, 2008;ObamaSpeeches0809.txt;Remarks of Senator Barack Obama (Reno, NV); Reno, NV;
O0127;Obama;October 1, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (La Crosse, WI); La Crosse, WI;
O0128;Obama;October 2, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Grand Rapids, MI); Grand Rapids, MI;
O0129;Obama;October 3, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Abington, PA); Abington, PA;
O0130;Obama;October 4, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama: Health Care; Newport News, VA;
O0131;Obama;October 5, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Asheville, NC); Asheville, NC;
O0132;Obama;October 8, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Indianapolis, IN); Indianapolis, IN;
O0133;Obama;October 9, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Dayton, OH); Dayton, OH ;
O0134;Obama;October 10, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Chillicothe, OH); Chillicothe, OH;
O0135;Obama;October 11, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Philadelphia, PA); Philadelphia, PA;
O0136;Obama;October 13, 2008;ObamaSpeeches0810.txt;"Remarks of Senator Barack Obama: ""A Rescue Plan for the Middle-Class"""; Toledo, OH;
O0137;Obama;October 15, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Londonderry, NH); Londonderry, NH;
O0138;Obama;October 17, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Roanoke, VA); Roanoke, VA;
O0139;Obama;October 18, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (St. Louis, MO); St. Louis, MO;
O0140;Obama;October 20, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Tampa Bay, FL); Tampa Bay, FL;
O0141;Obama;October 21, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama: Growing American Jobs Summit; Lake Worth, FL;
O0142;Obama;October 21, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Miami, FL); Miami, FL;
O0143;Obama;October 22, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama: National Security Avail; Richmond, VA;
O0144;Obama;October 22, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Richmond, Virginia); Richmond, VA;
O0145;Obama;October 23, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Indianapolis, IN); Indianapolis, IN;
O0146;Obama;October 25, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Reno, NV); Reno, NV  ;
O0147;Obama;October 27, 2008;ObamaSpeeches0810.txt;Senator Barack Obama's Closing Argument Speech: 'One Week'; Canton, OH;
O0148;Obama;October 28, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Chester, PA); Chester, PA;
O0149;Obama;October 29, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Raleigh, NC); Raleigh, NC;
O0150;Obama;October 30, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Sarasota, Fl); Sarasota, FL;
O0151;Obama;October 31, 2008;ObamaSpeeches0810.txt;Remarks of Senator Barack Obama (Des Moines, IA); Des Moines, IA;
O0152;Obama;November 1,2008;ObamaSpeeches0811.txt;Remarks of Senator Barack Obama (Henderson, NV); Henderson, NV;
O0153;Obama;November 2,2008;ObamaSpeeches0811.txt;Remarks of Senator Barack Obama (Columbus, OH); Columbus, OH;
O0154;Obama;November 3,2008;ObamaSpeeches0811.txt;Remarks of Senator Barack Obama (Jacksonville, FL); Jacksonville, FL ;
O0155;Obama;November 4,2008;ObamaSpeeches0811.txt;Remarks of President-Elect Barack Obama : Election Night; Chicago, IL ;
